cluster,type,index,lon,lat,alt
2,waypoint_sa,7,-24.1748583,65.6425661,875.2191279
2,waypoint_sa,8,-24.3931050,65.5827782,875.0535420
2,waypoint_sa,9,-24.4748659,65.5576457,874.9706408
2,waypoint_sa,10,-24.5000000,65.5500000,801.0000000
2,waypoint_sa,11,-24.3661780,65.6038890,875.0013444
2,waypoint_sa,12,-22.7843495,65.9128206,875.0229369
2,waypoint_sa,13,-21.9349338,66.0690874,875.6899083
2,waypoint_sa,14,-21.9328603,66.0694714,885.0062199
2,waypoint_sa,15,-21.9300000,66.0700000,920.9000000
2,waypoint_drstasa,0,-22.2000000,65.5200000,888.4000000
2,waypoint_drstasa,1,-22.9875080,65.6355715,885.7645560
2,waypoint_drstasa,2,-22.9875172,65.6355715,885.7645560
2,waypoint_drstasa,3,-22.9875155,65.6355715,885.7645560
2,waypoint_drstasa,4,-22.9876261,65.6355715,885.7645560
2,waypoint_drstasa,5,-23.8000000,65.6500000,921.4000000
2,waypoint_drstasa,6,-24.0898512,65.5537648,856.6834807
2,waypoint_drstasa,7,-24.0898512,65.5537648,856.6834807
2,waypoint_drstasa,8,-24.0898512,65.5537648,856.6834807
2,waypoint_drstasa,9,-24.0898512,65.5537648,856.6834807
2,waypoint_drstasa,10,-24.5000000,65.5500000,801.0000000
2,waypoint_drstasa,11,-24.0060841,65.7729359,842.7858124
2,waypoint_drstasa,12,-24.0060195,65.7729313,842.7858124
2,waypoint_drstasa,13,-24.0059838,65.7729398,842.7858124
2,waypoint_drstasa,14,-24.0059961,65.7729351,842.7858124
2,waypoint_drstasa,15,-21.9300000,66.0700000,920.9000000
3,target,0,-20.3000000,63.5100000,803.8000000
3,target,1,-19.4900000,63.5300000,841.3000000
3,target,2,-18.0400000,63.4180000,833.5000000
3,target,3,-19.7000000,64.2000000,910.5000000
3,waypoint_sa,0,-20.3000000,63.5100000,803.8000000
3,waypoint_sa,1,-20.2329340,63.5135988,875.0341892
3,waypoint_sa,2,-20.2290309,63.5137398,875.0088612
3,waypoint_sa,3,-19.5184288,63.5294307,875.0545097
3,waypoint_sa,4,-19.5109528,63.5295998,874.9785950
3,waypoint_sa,5,-19.4900000,63.5300000,841.3000000
3,waypoint_sa,6,-19.4148924,63.5148175,874.9912196
3,waypoint_sa,7,-18.8060061,63.3822981,875.0009532
3,waypoint_sa,8,-18.3416768,63.3964996,874.9966889
3,waypoint_sa,9,-18.0633766,63.4163740,874.0220996
3,waypoint_sa,10,-18.0400000,63.4180000,833.5000000
3,waypoint_sa,11,-18.0850949,63.4455439,875.0532380
3,waypoint_sa,12,-18.2198028,63.5257642,874.9950218
3,waypoint_sa,13,-19.2787493,64.0508947,875.0762456
3,waypoint_sa,14,-19.6704414,64.1898240,875.0011256
3,waypoint_sa,15,-19.7000000,64.2000000,910.5000000
3,waypoint_drstasa,0,-20.3000000,63.5100000,803.8000000
3,waypoint_drstasa,1,-20.0930000,63.5143433,857.9194548
3,waypoint_drstasa,2,-20.0930000,63.5143433,857.9194548
3,waypoint_drstasa,3,-20.0930000,63.5143433,857.9194548
3,waypoint_drstasa,4,-20.0930000,63.5143433,857.9194548
3,waypoint_drstasa,5,-19.4900000,63.5300000,841.3000000
3,waypoint_drstasa,6,-18.8034042,63.3818154,878.1858259
3,waypoint_drstasa,7,-18.6301481,63.3803522,885.5299860
3,waypoint_drstasa,8,-18.5769462,63.3815909,875.1361382
